,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
6062,A,1.5945945945945943,1.162162162162162,L,W,W,W,L,L,0.3783783783783784,-0.35135135135135137,0.027027027027027032,4.0
6063,H,1.5675675675675675,1.1891891891891893,W,L,D,L,W,L,0.35135135135135137,-0.21621621621621626,0.08108108108108109,-14.0
6064,D,1.7297297297297298,1.8108108108108107,L,W,D,W,D,W,0.8108108108108109,0.6756756756756757,0.027027027027027032,-1.0
6065,A,1.891891891891892,1.5405405405405406,D,D,W,W,W,D,1.054054054054054,0.3783783783783784,-0.027027027027027032,-2.0
6066,H,1.5945945945945943,1.7027027027027026,L,W,W,W,D,W,0.3783783783783784,0.35135135135135137,-0.054054054054054064,8.0
6067,D,1.5675675675675675,1.2972972972972974,W,L,D,L,D,W,0.35135135135135137,0.16216216216216214,0.16216216216216214,5.0
6068,H,0.8378378378378378,1.1891891891891893,L,L,L,L,W,L,-0.7297297297297297,-0.21621621621621626,-0.10810810810810813,0.0
6069,H,0.945945945945946,1.1891891891891893,W,D,D,L,W,L,-0.4594594594594595,0.10810810810810813,0.08108108108108109,5.0
6070,H,1.7894736842105263,0.4473684210526316,D,W,D,D,L,L,0.6578947368421053,-1.1842105263157894,0.21052631578947367,-14.0
6071,D,1.2894736842105263,2.1052631578947367,D,L,D,W,D,W,0.15789473684210525,0.8421052631578947,-0.15789473684210525,-13.0
6072,H,1.1578947368421053,0.8947368421052632,L,L,W,W,L,L,0.02631578947368421,-0.6578947368421053,0.02631578947368421,-9.0
6073,H,0.8947368421052632,1.8421052631578947,D,W,D,L,D,D,-0.6578947368421053,1.0,0.02631578947368421,10.0
6074,H,1.5789473684210529,1.1052631578947372,W,W,W,W,L,L,0.3947368421052632,-0.2368421052631579,0.21052631578947367,-3.0
6075,H,1.263157894736842,1.631578947368421,L,D,L,W,L,W,-0.3947368421052632,0.3947368421052632,-0.2368421052631579,-3.0
6076,D,1.2105263157894737,1.7105263157894737,W,W,L,D,L,W,-0.2631578947368421,0.7894736842105263,0.02631578947368421,6.0
6077,D,1.1578947368421053,1.0,L,L,W,W,W,D,-0.2631578947368421,-0.3684210526315789,-0.13157894736842105,4.0
6078,D,1.1052631578947372,1.5526315789473684,D,L,D,D,W,L,-0.3684210526315789,0.34210526315789475,-0.15789473684210525,7.0
6079,H,1.6578947368421053,1.1052631578947372,L,W,D,D,L,L,0.3157894736842105,-0.5263157894736842,0.15789473684210525,-16.0
6110,H,1.0,0.5,W,D,L,D,L,D,0.25,-0.5,0.5,-4.0
6111,H,0.25,1.0,D,L,L,D,L,W,-0.75,0.0,-0.75,2.0
6112,D,0.75,1.5,L,W,L,L,W,W,-0.5,0.5,-0.75,0.0
6113,H,1.0,1.0,D,L,W,W,D,L,-0.25,0.0,0.0,7.0
6114,A,2.25,2.25,W,W,W,W,W,W,1.25,1.5,0.0,1.0
6115,A,1.25,0.25,D,W,D,D,L,L,0.25,-0.5,1.0,5.0
6116,A,0.25,1.25,L,L,D,D,W,D,-1.0,0.25,-1.0,6.0
6117,A,0.75,0.25,L,W,L,L,L,D,-0.5,-0.75,0.5,-6.0
6118,D,0.75,2.25,L,L,W,W,W,W,-0.5,1.25,-1.5,2.0
6119,A,0.25,1.75,D,L,L,W,W,D,-0.5,0.5,-1.5,6.0
6120,A,2.0,1.4,D,W,W,W,D,L,1.0,0.4,0.6,2.0
6121,H,2.0,1.0,W,W,W,L,D,W,1.0,0.0,1.0,-9.0
6122,A,1.4,1.4,D,L,W,W,W,D,0.4,0.4,0.0,18.0
6123,H,0.8,0.8,L,W,D,D,L,W,-0.6,-0.4,0.0,-19.0
6124,H,2.4,0.8,W,W,W,W,D,L,1.4,-0.4,1.6,-12.0
6125,H,0.8,0.6,L,D,L,L,L,W,-0.2,-0.8,0.2,7.0
6126,H,0.8,0.2,W,D,L,L,L,L,-0.2,-1.6,0.6,6.0
6127,H,0.4,0.8,L,D,L,D,L,L,-0.6,-0.4,-0.4,-6.0
6128,H,1.6,0.2,W,D,W,L,D,L,1.0,-1.0,1.4,-14.0
6129,H,0.8,1.8,W,L,L,L,W,W,-0.2,0.8,-1.0,8.0
